tweet_id,month,text,country
https://lens.org/018-822-204-308-485,2017-09-06,Method for monitoring a computer vision system  CVS   said computer vision system  CVS  being part of a vehicle control system  VCS  of a vehicle        that is used to maneuver said vehicle        in  D space         said computer vision system  CVS  being configured to monitor a surrounding area of the vehicle in real time and said computer vision monitor  CVM  monitoring the behavior of the computer vision system  C VS   comprising the steps of a   providing the computer vision monitor  CVM  with information concerning a position  LM POS  of at least one landmark        in the  D space         wherein said information is provided by a source  said source being independent of the computer vision system  CVS   b   providing the computer vision monitor  CVM  with information concerning a current position  CUR POS  of the vehicle         c   selecting based on steps a   and b   at least one landmark which falls within the range of vision of the computer vision system  CVS   d   classifying the computer vision system  CVS  as being faulty when the computer vision system  CVS  fails to detect a configurable number of selected landmarks        ,EP
https://lens.org/127-346-724-401-808,2017-09-06,Joint depth estimation and semantic labeling techniques usable for processing of a single image are described  In one or more implementations  global semantic and depth layouts are estimated of a scene of the image through machine learning by the one or more computing devices  Local semantic and depth layouts are also estimated for respective ones of a plurality of segments of the scene of the image through machine learning by the one or more computing devices  The estimated global semantic and depth layouts are merged with the local semantic and depth layouts by the one or more computing devices to semantically label and assign a depth value to individual pixels in the image ,GB
https://lens.org/038-450-432-720-413,2017-09-06,Communication is carried out using devices       with user maintained modes that enable synchronous content sharing and communication  Each user maintained mode enables a lightweight interface for positioning content in a conversation by initiating and terminating data transmission through user produced feedback to create a shared conversational experience ,EP
https://lens.org/065-178-297-203-366,2017-09-07,Die Erfindung betrifft ein System  umfassend      mindestens eine Stereokamera      mit einer ersten Optik      und einer zweiten Optik           mindestens eine Verarbeitungseinrichtung           die in kommunikativer Verbindung mit der Stereokamera      steht  um von der Stereokamera      erste Bilddaten  ImgL   die der ersten Optik      zugeordnet sind  und zweite Bilddaten  ImgR   die der zweiten Optik      zugeordnet sind  zu empfangen      mindestens einen Speicher      mit Instruktionen  dadurch gekennzeichnet  dass die Instruktionen die Verarbeitungseinrichtung          veranlassen      basierend auf den ersten und zweiten Bilddaten  ImgL  ImgR  mindestens ein Disparit  tsbild  DM  mit Disparit  tswerten  d p   f  r eine Vielzahl von Bildpunkten  p  zu berechnen  und     f  r mindestens einige der Bildpunkte  p  basierend auf den Bilddaten  ImgL  ImgR  einen Konfidenzwert  k p   und oder einen Fehlerwert  f p   zu berechnen ,DE
https://lens.org/162-196-828-230-562,2017-09-06,The invention relates to a new method and system for detection and removal of rain from video using temporal spatiotemporal properties  Advantageously  the temporal spatiotemporal properties are involved to separate the rain pixels from the non rain pixels  It is thus possible by way of the present invention to involve less number of consecutive frames  reducing the buffer size and delay  It works only on the intensity plane which reduces the complexity and execution time significantly along with accurate rain detection  This new technique does not assume the shape  size and velocity of the raindrops which makes it robust to different rain conditions  This method reduces the buffer size which reduces the system cost  delay and power consumption while maintaining sufficient quality of rain detection ,EP
https://lens.org/196-770-782-243-495,2017-09-06,,EP
https://lens.org/089-553-320-086-122,2017-09-06,The invention relates to a method for determining the visibility of objects in a field of view of a driver of a vehicle  in which an image is captured by means of a camera and a contrast sensitivity function      describing the human visual system is simulated by image processing of the image captured by the camera  The contrast sensitivity function      indicates threshold values of a contrast perceptible by the human visual system in dependency of frequencies           A particular frequency          indicates a number of alternations of light and dark areas per angle unit of the field of view  The contract sensitivity function      is approximated by applying a plurality of differences of filters      to the image captured by the camera  wherein the differences of filters      are each attributed to different frequencies          of the contrast sensitivity function       A frequency      of the contrast sensitivity function      corresponding to a maximum of the contrast sensitivity function      is determined  A first of the differences of filters      is determined depending on the frequency      corresponding to the maximum  In dependence on at least said first difference of filters      the visibility of an object in the field of view of the driver is determined  The invention further relates to a driver assistance system and a motor vehicle with a driver assistance system ,EP
https://lens.org/008-578-816-411-876,2017-09-06,A method of determining the position of a medical device to be localized  comprising  a  acquiring main position data comprising reference structure position information which describes the position of a reference structure in a global coordinate system  the main position data having been gathered by a main detection device  b  acquiring supplement position data comprising relative position information which describes the position of the medical device relative to the position of the reference structure in a reference coordinate system  the supplement position data having been gathered by a supplement detection device  c  determining  based on the relative position information and the reference structure position information  medical device position data comprising medical device position information which describes the position of the medical device in the global coordinate system ,EP
https://lens.org/181-899-496-636-469,2017-09-06,Methods and systems for evaluating a proposed treatment plan for radiation therapy  for evaluating one or more delineated regions of interest for radiation therapy  and or for generating a proposed treatment plan for radiation therapy  Machine learning based on historical data may be used ,EP
https://lens.org/153-073-058-130-912,2017-09-06,Methods and systems for moving object localization include estimating a ground plane in a video frame based on a detected object within the video frame and monocular structure from motion  SFM  information  computing object pose for objects in the frame based on the SFM information using dense feature tracking  and determining a three dimensional location for the detected object based on the estimated ground plane and the computed object pose ,EP
https://lens.org/176-138-724-589-899,2017-09-06,An apparatus is configured to perform a method for generalized view morphing The method includes determining a camera plane based on a predetermined view point of a virtual camera associated with a desired virtual image  the camera plane comprising at least three real cameras  pre warping at least three image planes such that all of the image planes are parallel to the camera plane  each image plane associated with one of the real cameras positioned in the camera plane  determining a virtual image plane by performing a linear interpolation morphing on the at least three image planes  and post warping the virtual image plane to a predetermined pose ,EP
https://lens.org/017-795-539-441-360,2017-09-06,The present invention relates to a method for the three dimensional detection of objects  in which an image is detected and is compared to a known reference image and mutually corresponding objects in the images are identified by means of a correlation process  A binarization scheme is used in the correlation process and compares randomly selected point pairs to one another  The point pairs are fixed by means of a plurality of iterations ,EP
