tweet_id,month,text,country
6.25E+17,2015-10-25 00:45:05.000000 UTC,498358513,Lit by my lonesome,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,203459909,RT  PaulWilsonIdeas  To Plan or Build  Balancing the Two in A Startup http   t co a v DXAwoy,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,29664644, BookSquirt  drools   though Camembert is yummier      ,6.25E+17,578027512,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,123873223,RT  belinda merhab  Tears   trade union royal commission amid allegations union organiser assaulted woman  story via  AAPNewswire  turc htt   ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,15038450,I can t find any cheap espadrilles ANYWHERE                      ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,106082182, XFRewatchTooms   amp  so ends another chapter  If you don t mind  I m going to get some burritos now  See ya s tomorrow ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,162194427,Happy Saturday friends  Have a fabulous day     http   t co myWRnB DK ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,1874708034,RT  gttkbts   wangsus  BTS twt tf http   t co MHyNLuTywz,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,308233828,The Tyranny of the Telephone by  jessamyn http   t co  SwlEcbYIx http   t co WuqUAdfJpU,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,17768845,The UXTweets Daily is out  http   t co WX  RisdEP Stories via  usability u  gerrygaffney  ixdStudio,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,308233828,  Must Visit American Literary Bars http   t co rVz AF W e http   t co   SEQS cKP,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,405576343,ESTRENO     El Mayor Clasico     Versace  Descargar  http   t co    TS NJPz Unete  TeamPGV http   t co  llkd iG Z,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,137288951,I  fly up to  sunny  Queensland  weather for   days  tomorrow  fitspo  god        cantwait  birthdaytreat    https   t co HE hCCWeH ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,1598992411,RT  baylienikolle  funny bc yall think yall know but yall have no idea,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,272832064, goonerwally   k     ,6.25E+17,2669190440,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,770191598,Infection                                                                     infection,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,1211119381,RT  jnaschool  U S  Supreme Court rules Abercrombie discriminated against applicant in workplace religious discrimination case  http   t co   ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,139294151, Kei ry I THINK      OR ST    HOLD ON I GOTTA DRIVE SOMEWHERE ILL LET U KNOW AFTER  BUT KELLY KNOWS   ,6.25E+17,889183086,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,53898876,RT  WHOTheBckstreet  In The News   nickcarter Is Making Major Headlines Worldwide With  Dead  http   t co VqN GjLjgN,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,36026362,RT  ShaunFrankson  RT a solar powered  SocialPlastic success story  In Haiti plastic waste can charge a phone http   t co yswXrtJJTk http     ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,32798162, ThisIsRobThomas  Casey Barnes you won t regret it ,6.25E+17,22540123,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,34496947,RT  justinbarbour  It s a little gross that Bill Shorten spoke while the Left was meeting to avoid potential reaction from the crowd   alpc   ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,339518843,remember http   t co CugTVH  nK,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,82561717,Lunch is served  REINZ  Auckland  NewZealand http   t co lCvcvwaYnZ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,842933353, Sydney  Melbourne https   t co xUkyih De ,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,980305236,It that takes a lot of guts to do what you just did  I m proud of you  It made me smile to know you understand   Apositivemessage,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,15083378, JAY A A any tips on how to avoid stitches    https   t co dqWDlk ZRd,6.25E+17,21847077,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,155154122,RT  fuckboytuan  LeGIT CRIED OUT LOUD MY BABIES SO ADORABLE http   t co yRxOhOoLoC,,,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,487649494, filmvisuality ugh  superheroes  again ,6.25E+17,15330300,AUS
6.25E+17,2015-10-25 00:45:05.000000 UTC,42530187,RT  WhereMyOstrich   Lee Tennant  darlingcat  Plenty of deliberate distortions of reality at  LiberalAus lately   LoughnaneB also Reality D   ,,,AUS
